"code_product","year_month_full","margin"
"CA1159A",2018-01-01,66.275
"CA1160A",2018-01-01,316.8
"CA1161V",2018-01-01,29.985
"CA1162V",2018-01-01,36.7275
"CA1163B",2018-01-01,15.5125
"CA1165A",2018-01-01,384.4875
"CA1166V",2018-01-01,68.97125
"CA1167V",2018-01-01,74.29375
"CA1201A",2018-01-01,170.564
"CA1202A",2018-01-01,899.38525
"CA1301A",2018-01-01,816.8485
"CA1302A",2018-01-01,1780.2465
"CA1303A",2018-01-01,840.1715
"PP2217B",2018-01-01,13.50375
"PP2218B",2018-01-01,11.0325
"PP2224B",2018-01-01,18.78125
"PP2272B",2018-01-01,12.8675
"AC1160T",2018-02-01,23.50125
"AC1161T",2018-02-01,9.5075
"AC1201B",2018-02-01,44.71375
"AC1202B",2018-02-01,-0.56625
"AC1203B",2018-02-01,1.32625
"AC1204B",2018-02-01,1.775
"AC3104B",2018-02-01,36.4
"AC3192B",2018-02-01,74.72
"AC3193B",2018-02-01,164.54125
"CA1148V",2018-02-01,255.8125
"CA1159A",2018-02-01,121.175
"CA1160A",2018-02-01,406.9625
"CA1161V",2018-02-01,16.94875
"CA1162V",2018-02-01,11.375
"CA1163B",2018-02-01,19.425
"CA1165A",2018-02-01,340.8
"CA1166V",2018-02-01,54.03375
"CA1167V",2018-02-01,104.91875
"CA1201A",2018-02-01,326.34275
"CA1202A",2018-02-01,829.16775
"CA1301A",2018-02-01,659.15575
"CA1302A",2018-02-01,2054.35775
"CA1303A",2018-02-01,1066.33325
"PP2217B",2018-02-01,11.55625
"PP2218B",2018-02-01,17.00875
"PP2224B",2018-02-01,14.575
"PP2272B",2018-02-01,18.17
"AC1160T",2018-03-01,6.43625
"AC1161T",2018-03-01,4.445
"AC1201B",2018-03-01,24.34625
"AC1202B",2018-03-01,10.1225
"AC1203B",2018-03-01,4.3325
"AC1204B",2018-03-01,3.47375
"AC3104B",2018-03-01,58.06875
"AC3192B",2018-03-01,66.67625
"AC3193B",2018-03-01,159.6825
"BT4001G",2018-03-01,18.335
"CA1148V",2018-03-01,273.5
"CA1159A",2018-03-01,199.725
"CA1160A",2018-03-01,614.39375
"CA1161V",2018-03-01,16.94875
"CA1162V",2018-03-01,30.7025
"CA1163B",2018-03-01,63.63
"CA1165A",2018-03-01,512.29375
"CA1166V",2018-03-01,45.965
"CA1167V",2018-03-01,87.90375
"CA1201A",2018-03-01,267.08125
"CA1202A",2018-03-01,1178.38975
"CA1301A",2018-03-01,891.83825
"CA1302A",2018-03-01,2598.86375
"CA1303A",2018-03-01,1601.62375
"PP2217B",2018-03-01,25.2925
"PP2218B",2018-03-01,6.48
"PP2224B",2018-03-01,21.9375
"PP2272B",2018-03-01,20.6975
"AC1160T",2018-04-01,12.7725
"AC1161T",2018-04-01,12.8725
"AC1201B",2018-04-01,15.43125
"AC1202B",2018-04-01,3.27
"AC1204B",2018-04-01,3.70125
"AC3104B",2018-04-01,40.1375
"AC3192B",2018-04-01,59.21625
"AC3193B",2018-04-01,160.6875
"BT4001G",2018-04-01,28.365
"CA1148V",2018-04-01,262.94375
"CA1159A",2018-04-01,71.85
"CA1160A",2018-04-01,535.53125
"CA1161V",2018-04-01,6.185
"CA1162V",2018-04-01,32.94625
"CA1163B",2018-04-01,47.02625
"CA1165A",2018-04-01,577.08125
"CA1166V",2018-04-01,35.52875
"CA1167V",2018-04-01,119.62625
"CA1201A",2018-04-01,300.491
"CA1202A",2018-04-01,1173.454
"CA1301A",2018-04-01,1061.86225
"CA1302A",2018-04-01,2473.9205
"CA1303A",2018-04-01,1401.2665
"PP2217B",2018-04-01,12.0175
"PP2218B",2018-04-01,8.90625
"PP2224B",2018-04-01,10.57875
"PP2272B",2018-04-01,14.64875
"AC1160T",2018-05-01,50.375
"AC1161T",2018-05-01,9.52
"AC1201B",2018-05-01,27.32125
"AC1202B",2018-05-01,3.38375
"AC1203B",2018-05-01,3.675
"AC1204B",2018-05-01,5.95125
"AC3104B",2018-05-01,96.1625
"AC3192B",2018-05-01,57.2025
"AC3193B",2018-05-01,213.67625
"BT4001G",2018-05-01,38.28875
"CA1148V",2018-05-01,283.71875
"CA1159A",2018-05-01,79.025
"CA1160A",2018-05-01,594.15
"CA1161V",2018-05-01,38.60125
"CA1162V",2018-05-01,4.4825
"CA1163B",2018-05-01,63.555
"CA1165A",2018-05-01,668.2875
"CA1166V",2018-05-01,-1.54
"CA1167V",2018-05-01,54.91875
"CA1201A",2018-05-01,373.23375
"CA1202A",2018-05-01,1100.157
"CA1301A",2018-05-01,699.1725
"CA1302A",2018-05-01,3328.592
"CA1303A",2018-05-01,1603.73425
"PP2217B",2018-05-01,12.4725
"PP2218B",2018-05-01,2.15375
"PP2224B",2018-05-01,8.12875
"PP2272B",2018-05-01,6.36125
"AC1160T",2018-06-01,10.07
"AC1161T",2018-06-01,14.5275
"AC1201B",2018-06-01,31.70625
"AC1202B",2018-06-01,3.6825
"AC1204B",2018-06-01,9.56875
"AC3104B",2018-06-01,76.6625
"AC3192B",2018-06-01,107.70625
"AC3193B",2018-06-01,193.45375
"BT4001G",2018-06-01,9.98
"CA1148V",2018-06-01,303.34375
"CA1159A",2018-06-01,145.125
"CA1160A",2018-06-01,691.0875
"CA1161V",2018-06-01,23.065
"CA1162V",2018-06-01,5.585
"CA1163B",2018-06-01,51.7125
"CA1165A",2018-06-01,490.61875
"CA1167V",2018-06-01,130.59
"CA1201A",2018-06-01,287.983
"CA1202A",2018-06-01,1362.2525
"CA1301A",2018-06-01,893.40975
"CA1302A",2018-06-01,3099.09225
"CA1303A",2018-06-01,1943.87975
"PP2217B",2018-06-01,10.97875
"PP2218B",2018-06-01,4.90875
"PP2224B",2018-06-01,14.44
"PP2272B",2018-06-01,9.93125
"AC1160T",2018-07-01,8.62125
"AC1161T",2018-07-01,14.54
"AC1201B",2018-07-01,27.0025
"AC1202B",2018-07-01,4.145
"AC1203B",2018-07-01,2.485
"AC1204B",2018-07-01,7.21
"AC3104B",2018-07-01,53.5
"AC3192B",2018-07-01,152.535
"AC3193B",2018-07-01,211.18875
"BT4001G",2018-07-01,39.5325
"CA1148V",2018-07-01,383.95
"CA1159A",2018-07-01,206.9
"CA1160A",2018-07-01,947.25625
"CA1161V",2018-07-01,13.27875
"CA1162V",2018-07-01,30.42625
"CA1163B",2018-07-01,42.30375
"CA1165A",2018-07-01,613.8
"CA1167V",2018-07-01,152.49375
"CA1201A",2018-07-01,351.13825
"CA1202A",2018-07-01,1595.13675
"CA1301A",2018-07-01,945.76475
"CA1302A",2018-07-01,3280.8075
"CA1303A",2018-07-01,3067.605
"PP2217B",2018-07-01,6.725
"PP2218B",2018-07-01,7.4775
"PP2224B",2018-07-01,0.61625
"PP2272B",2018-07-01,4.195
"AC1160T",2018-08-01,3.8825
"AC1161T",2018-08-01,32.975
"AC1201B",2018-08-01,29.005
"AC1202B",2018-08-01,5.34375
"AC1203B",2018-08-01,4.5725
"AC1204B",2018-08-01,1.94625
"AC3104B",2018-08-01,47.55
"AC3192B",2018-08-01,125.91625
"AC3193B",2018-08-01,176.1525
"BT4001G",2018-08-01,44.31125
"CA1148V",2018-08-01,319.25625
"CA1159A",2018-08-01,65.3875
"CA1160A",2018-08-01,668.71875
"CA1161V",2018-08-01,45.42375
"CA1162V",2018-08-01,17.54
"CA1163B",2018-08-01,29.82125
"CA1165A",2018-08-01,503.1625
"CA1167V",2018-08-01,160.0575
"CA1201A",2018-08-01,461.14475
"CA1202A",2018-08-01,1191.06475
"CA1301A",2018-08-01,1317.37125
"CA1302A",2018-08-01,2497.404
"CA1303A",2018-08-01,2254.044
"PP2217B",2018-08-01,-0.0400000000000009
"PP2218B",2018-08-01,2.15375
"PP2224B",2018-08-01,3.90875
"PP2272B",2018-08-01,4.195
"AC1160T",2018-09-01,33.5625
"AC1161T",2018-09-01,17.8675
"AC1201B",2018-09-01,45.20875
"AC1202B",2018-09-01,14.7875
"AC1203B",2018-09-01,7.115
"AC1204B",2018-09-01,5.865
"AC3104B",2018-09-01,32.1625
"AC3191B",2018-09-01,8.3
"AC3192B",2018-09-01,148.72125
"AC3193B",2018-09-01,307.40375
"BT4001G",2018-09-01,19.69125
"CA1148V",2018-09-01,322.5625
"CA1159A",2018-09-01,241.1125
"CA1160A",2018-09-01,808.95625
"CA1161V",2018-09-01,31.495
"CA1162V",2018-09-01,106.85375
"CA1163B",2018-09-01,87.23
"CA1165A",2018-09-01,625.7
"CA1166V",2018-09-01,11.97
"CA1167V",2018-09-01,184.285
"CA1201A",2018-09-01,520.021
"CA1202A",2018-09-01,1368.119
"CA1301A",2018-09-01,2495.438
"CA1302A",2018-09-01,3485.62275
"CA1303A",2018-09-01,1623.98625
"PP2217B",2018-09-01,24.37125
"PP2218B",2018-09-01,12.435
"PP2224B",2018-09-01,22.65375
"PP2272B",2018-09-01,15.6025
"AC1160T",2018-10-01,49.54375
"AC1161T",2018-10-01,12.285
"AC1201B",2018-10-01,32.175
"AC1202B",2018-10-01,30.47875
"AC1203B",2018-10-01,12.7275
"AC1204B",2018-10-01,26.77
"AC3104B",2018-10-01,48.34375
"AC3192B",2018-10-01,215.50875
"AC3193B",2018-10-01,370.11375
"BT4001G",2018-10-01,39.80125
"CA1148V",2018-10-01,436.775
"CA1159A",2018-10-01,263.6125
"CA1160A",2018-10-01,818.6875
"CA1161V",2018-10-01,15.95875
"CA1162V",2018-10-01,167.99125
"CA1163B",2018-10-01,111.4775
"CA1165A",2018-10-01,598.8625
"CA1166V",2018-10-01,191.69
"CA1167V",2018-10-01,476.28125
"CA1201A",2018-10-01,934.17825
"CA1202A",2018-10-01,1666.2985
"CA1301A",2018-10-01,1736.84525
"CA1302A",2018-10-01,4522.2345
"CA1303A",2018-10-01,2152.7455
"PP2217B",2018-10-01,14.14375
"PP2218B",2018-10-01,4.98
"PP2224B",2018-10-01,17.65625
"PP2272B",2018-10-01,18.495
"AC1160T",2018-11-01,54.3075
"AC1161T",2018-11-01,8.3825
"AC1201B",2018-11-01,53.68125
"AC1202B",2018-11-01,31.38
"AC1203B",2018-11-01,21.35
"AC1204B",2018-11-01,12.66375
"AC3104B",2018-11-01,119.18125
"AC3192B",2018-11-01,254.6175
"AC3193B",2018-11-01,330.16125
"BT4001G",2018-11-01,25.88375
"CA1148V",2018-11-01,386.90625
"CA1159A",2018-11-01,202.1875
"CA1160A",2018-11-01,959.85625
"CA1161V",2018-11-01,114.88125
"CA1162V",2018-11-01,137.22
"CA1163B",2018-11-01,106.85375
"CA1165A",2018-11-01,759.16875
"CA1166V",2018-11-01,226.03125
"CA1167V",2018-11-01,170.81
"CA1201A",2018-11-01,506.2795
"CA1202A",2018-11-01,1650.8895
"CA1301A",2018-11-01,1851.40525
"CA1302A",2018-11-01,3868.27825
"CA1303A",2018-11-01,2675.09025
