Groupe,Libelle,Quantite,Mois,Annee,Marge_unitaire,Benefice,Proportion_benefice,Ratio,Ratio_pondere_benefice,Potentiel_croissance
CLT 7-12,DG-204 Digest,60,7,2020,3.37,202.2,0.003300481,,,
CLT 7-12,DR-104 Dépuratif & Draineur ampoule,1260,7,2020,7.071,8909.46,0.14542781,,,
CLT 7-12,DR-105 Dépuratif & draineur flacon,392,7,2020,6.484,2541.728,0.041488254,,,
CLT 7-12,MC-218 Minceur 3 en 1,800,7,2020,8.763,7010.4,0.114429732,,,
CLT 7-12,MP-115 Minceur plus,420,7,2020,3.99,1675.8,0.027353838,,,
CLT 7-12,MV-215 Multivitamines,27,7,2020,3.45,93.15,0.001520474,,,
CLT 7-12,NP-114 Nopal,3630,7,2020,3.71,13467.3,0.219824765,,,
CLT 7-12,PH-216 pH Balance,90,7,2020,6.86,617.4,0.01007773,,,
CLT 7-12,SE-319 Sérénité,30,7,2020,2.98,89.4,0.001459263,,,
CLT 7-12,SPRAY ANTI-FRINGALE,0,7,2020,6.326,0,0,,,
CLT 7-12,Gel minceur 150ml,10,7,2020,5.41,54.1,0.000883066,,,
CLT 7-12,Barre minceur Hyperprotéinée,80,7,2020,2.55,204,0.003329862,,,
CLT 7-12,BISCUITS SAVEUR BEURRE,420,7,2020,1.36,571.2,0.009323614,,,
CLT 7-12,BISCUITS SAVEUR CHOCOLAT,300,7,2020,1.36,408,0.006659724,,,
CLT 7-12,Boules de soja BBQ,80,7,2020,0.47,37.6,0.000613739,,,
CLT 7-12,Boules de soja chocolat,360,7,2020,0.47,169.2,0.002761827,,,
CLT 7-12,Boules de soja Oignons,120,7,2020,0.47,56.4,0.000920609,,,
CLT 7-12,CEREALES CHOCOLAT,402,7,2020,1.07,430.14,0.007021112,,,
CLT 7-12,CEREALES FRUITS ROUGES,126,7,2020,1.05,132.3,0.002159514,,,
CLT 7-12,CEREALES NATURE,54,7,2020,1.29,69.66,0.00113705,,,
CLT 7-12,Chili con carne,50,7,2020,0.89,44.5,0.000726367,,,
CLT 7-12,Colin sauce oseille et riz,10,7,2020,0.6,6,9.79371E-05,,,
CLT 7-12,Lasagnes,36,7,2020,0.84,30.24,0.000493603,,,
CLT 7-12,Noix de soja BBQ,0,7,2020,0.32,0,0,,,
CLT 7-12,Pâtes bolognaises,84,7,2020,0.79,66.36,0.001083185,,,
CLT 7-12,Poulet curry et son riz,30,7,2020,0.84,25.2,0.000411336,,,
CLT 7-12,Thé Silhouette+,110,7,2020,1.72,189.2,0.003088284,,,
CLT 7-12,Tisane CIRCULATION,30,7,2020,1.46,43.8,0.000714941,,,
CLT 7-12,Tisane DIGEST',30,7,2020,1.46,43.8,0.000714941,,,
CLT 7-12,BG-102 Brûleur ampoules,1418,8,2020,7.789,11044.802,0.235945241,,,
CLT 7-12,BG-103 Brûleur flacon,476,8,2020,7.351,3499.076,0.07474922,,,
CLT 7-12,BT-202 Booster,90,8,2020,4.4,396,0.008459574,,,
