"code_product","year_month_full","amount"
"CA1201A",2021-05-01,61875.49
"CA1202A",2021-05-01,170305.54
"CA1301A",2021-05-01,225614.08
"CA1302A",2021-05-01,363336.81
"CA1303A",2021-05-01,190729.65
"CERCHOC",2021-05-01,26218.16
"CERFRUI",2021-05-01,7743.14
"CERNATU",2021-05-01,4761.96
"GLPSO",2021-05-01,42.72
"GOBDIE",2021-05-01,0
"GOOM002",2021-05-01,6.39
"GOOM003",2021-05-01,5.28
"GOOM005",2021-05-01,79.7
"GOOM006",2021-05-01,4.57
"GOOS001",2021-05-01,0
"NEW1",2021-05-01,216.38
"PP2216",2021-05-01,617.24
"PP2217B",2021-05-01,3712.14
"PP2218B",2021-05-01,2326.46
"PP2224B",2021-05-01,2008.02
"PP2272B",2021-05-01,4321.57
"AC1160T",2021-06-01,2407.49
"AC1161T",2021-06-01,5956.76
"AC1163T",2021-06-01,5935.62
"AC1201B",2021-06-01,5129.42
"AC1202B",2021-06-01,1972.24
"AC1203B",2021-06-01,1500.11
"AC1204B",2021-06-01,1193.42
"AC3104B",2021-06-01,12902.27
"AC3105B",2021-06-01,2909.59
"AC3106B",2021-06-01,875.61
"AC3107B",2021-06-01,647.68
"AC3191B",2021-06-01,570.27
"AC3192B",2021-06-01,16720.76
"AC3193B",2021-06-01,37626.78
"ACCS009",2021-06-01,1.65
"AR00067",2021-06-01,457.97
"AR00068",2021-06-01,72.55
"AR00069",2021-06-01,57.25
"ART0082",2021-06-01,66.13
"BOXDT",2021-06-01,1139.34
"BOXESC",2021-06-01,52.68
"BOXESN",2021-06-01,2.37
"BOXH",2021-06-01,306.63
"BOXHAR",2021-06-01,94.67
"BOXSER",2021-06-01,124.74
"BOXSIL",2021-06-01,88.75
"BOXV",2021-06-01,1198.09
"BOXVIT",2021-06-01,51.96
"BOXVP",2021-06-01,1683.9
"BT4001G",2021-06-01,3850.31
"CA1147",2021-06-01,3448.79
"CA1148V",2021-06-01,31947.3
"CA1159A",2021-06-01,392989.09
"CA1160A",2021-06-01,91719.83
"CA1161V",2021-06-01,8076.91
"CA1162V",2021-06-01,4968.77
"CA1163B",2021-06-01,5282.79
"CA1165A",2021-06-01,67202.76
"CA1166V",2021-06-01,8813.83
"CA1167V",2021-06-01,16093.11
"CA1201A",2021-06-01,74776.31
"CA1202A",2021-06-01,185099.31
"CA1301A",2021-06-01,258074.86
"CA1302A",2021-06-01,408002.48
"CA1303A",2021-06-01,235835.4
"CERCHOC",2021-06-01,27514.75
"CERFRUI",2021-06-01,7962.64
"CERNATU",2021-06-01,5254.25
"GLPSO",2021-06-01,36.58
"GOOM002",2021-06-01,8.75
"GOOM003",2021-06-01,6
"GOOM004",2021-06-01,0
"GOOM005",2021-06-01,39.97
"GOOM006",2021-06-01,0
"GOOS001",2021-06-01,0.83
"NEW1",2021-06-01,333.06
"PP2216",2021-06-01,660.67
"PP2217B",2021-06-01,3729.41
"PP2218B",2021-06-01,2129.66
"PP2224B",2021-06-01,2083.13
"PP2272B",2021-06-01,4041.53
"AC1160T",2021-07-01,1947.2
"AC1161T",2021-07-01,3110.69
"AC1163T",2021-07-01,4885.75
"AC1201B",2021-07-01,4125.82
"AC1202B",2021-07-01,1767.14
"AC1203B",2021-07-01,1375.76
"AC1204B",2021-07-01,1145.02
"AC3104B",2021-07-01,10309.36
"AC3105B",2021-07-01,2730.88
"AC3106B",2021-07-01,750.44
"AC3107B",2021-07-01,544.32
"AC3191B",2021-07-01,371.55
"AC3192B",2021-07-01,15059.19
"AC3193B",2021-07-01,34422.29
"ACCS009",2021-07-01,1.65
"AR00067",2021-07-01,315.73
"AR00068",2021-07-01,69.87
"AR00069",2021-07-01,59.16
"ART0082",2021-07-01,24.48
"BOXDIG",2021-07-01,44.64
"BOXDT",2021-07-01,860.57
"BOXESN",2021-07-01,2.37
"BOXH",2021-07-01,383.81
"BOXHAR",2021-07-01,90.78
"BOXSER",2021-07-01,96.39
"BOXSIL",2021-07-01,71.42
"BOXV",2021-07-01,8591.93
"BOXVIT",2021-07-01,201.73
"BOXVP",2021-07-01,1967.09
"BT4001G",2021-07-01,2840.25
"CA1147",2021-07-01,3150.92
"CA1148V",2021-07-01,42678.89
"CA1159A",2021-07-01,393867.91
"CA1160A",2021-07-01,126099.93
"CA1161V",2021-07-01,8199.94
"CA1162V",2021-07-01,5270.08
"CA1163B",2021-07-01,4554.11
"CA1165A",2021-07-01,69303.5
"CA1166V",2021-07-01,7401.91
"CA1167V",2021-07-01,14666.68
"CA1201A",2021-07-01,65242.46
"CA1202A",2021-07-01,205754.21
"CA1301A",2021-07-01,181426.26
"CA1302A",2021-07-01,437100.61
"CA1303A",2021-07-01,369805.31
"CERCHOC",2021-07-01,25999.86
"CERFRUI",2021-07-01,7139.28
"CERNATU",2021-07-01,4949.8
"FT5",2021-07-01,4.17
"GLPSO",2021-07-01,24.84
"GOBDIE",2021-07-01,1.25
"GOOM002",2021-07-01,3.83
"GOOM003",2021-07-01,6
"GOOM005",2021-07-01,105.46
"GOOM006",2021-07-01,0
"GOOM007",2021-07-01,0
"GOOS001",2021-07-01,0
"NEW1",2021-07-01,86.26
"PP2216",2021-07-01,398.15
"PP2217B",2021-07-01,2830.56
"PP2218B",2021-07-01,1822.59
"PP2224B",2021-07-01,1374.52
"PP2272B",2021-07-01,3328.56
"AC1160T",2021-08-01,1358.36
"AC1161T",2021-08-01,1228.13
"AC1163T",2021-08-01,3207.89
"AC1201B",2021-08-01,2411.11
"AC1202B",2021-08-01,1016.71
"AC1203B",2021-08-01,686.73
"AC1204B",2021-08-01,472.6
"AC3104B",2021-08-01,6575.13
"AC3105B",2021-08-01,1928.28
"AC3106B",2021-08-01,831.05
"AC3107B",2021-08-01,413.32
"AC3191B",2021-08-01,181.29
"AC3192B",2021-08-01,8832.3
"AC3193B",2021-08-01,20014.5
"ACCS009",2021-08-01,0
"AR00067",2021-08-01,217.66
"AR00068",2021-08-01,25.94
"AR00069",2021-08-01,30.37
"ART0082",2021-08-01,26.48
"BOXDT",2021-08-01,346.24
"BOXESC",2021-08-01,8.52
"BOXFS",2021-08-01,89.73
"BOXH",2021-08-01,215.08
"BOXHAR",2021-08-01,49.56
"BOXSER",2021-08-01,30.52
"BOXSIL",2021-08-01,177.5
"BOXV",2021-08-01,2573.16
"BOXVIT",2021-08-01,105.04
"BOXVP",2021-08-01,890.78
"BT4001G",2021-08-01,1686.87
"CA1147",2021-08-01,1629.26
"CA1148V",2021-08-01,21249.28
"CA1159A",2021-08-01,220282.57
"CA1160A",2021-08-01,62708.8
"CA1161V",2021-08-01,5326.59
"CA1162V",2021-08-01,2442.33
"CA1163B",2021-08-01,3301.68
"CA1165A",2021-08-01,37953.73
"CA1166V",2021-08-01,4965.45
"CA1167V",2021-08-01,8324.18
"CA1201A",2021-08-01,30028.73
"CA1202A",2021-08-01,108140.68
"CA1301A",2021-08-01,136335.92
"CA1302A",2021-08-01,235788.06
"CA1303A",2021-08-01,170069
"CERCHOC",2021-08-01,14144.33
"CERFRUI",2021-08-01,4307.06
"CERNATU",2021-08-01,2623.37
"GLPSO",2021-08-01,24.84
"GOOM002",2021-08-01,2.18
"GOOM003",2021-08-01,6
"GOOM005",2021-08-01,150
"GOOM006",2021-08-01,0
"GOOS001",2021-08-01,0
"NEW1",2021-08-01,34.36
"PP2216",2021-08-01,345.13
"PP2217B",2021-08-01,1685.92
"PP2218B",2021-08-01,953.41
"PP2224B",2021-08-01,830.86
"PP2272B",2021-08-01,2076.05
"AC1160T",2021-09-01,2281.13
"AC1161T",2021-09-01,2139.55
"AC1163T",2021-09-01,5281.2
"AC1201B",2021-09-01,3883.71
"AC1202B",2021-09-01,1654.01
"AC1203B",2021-09-01,1280.24
