"year_month_full","code_product","Ranking","Ranking_inv"
2021-06-01,"BOXVP",33,28
2021-06-01,"BT4001G",25,36
2021-06-01,"CA1147",27,34
2021-06-01,"CA1148V",10,51
2021-06-01,"CA1159A",2,59
2021-06-01,"CA1160A",6,55
2021-06-01,"CA1161V",16,45
2021-06-01,"CA1162V",23,38
2021-06-01,"CA1163B",20,41
2021-06-01,"CA1165A",8,53
2021-06-01,"CA1166V",15,46
2021-06-01,"CA1167V",13,48
2021-06-01,"CA1201A",7,54
2021-06-01,"CA1202A",5,56
2021-06-01,"CA1301A",3,58
2021-06-01,"CA1302A",1,60
2021-06-01,"CA1303A",4,57
2021-06-01,"CERCHOC",11,50
2021-06-01,"CERFRUI",17,44
2021-06-01,"CERNATU",21,40
2021-06-01,"GLPSO",54,7
2021-06-01,"GOOM002",55,6
2021-06-01,"GOOM003",56,5
2021-06-01,"GOOM005",53,8
2021-06-01,"GOOS001",59,2
2021-06-01,"NEW1",43,18
2021-06-01,"PP2216",39,22
2021-06-01,"PP2217B",26,35
2021-06-01,"PP2218B",30,31
2021-06-01,"PP2224B",31,30
2021-06-01,"PP2272B",24,37
2021-07-01,"AC1160T",31,30
2021-07-01,"AC1161T",26,35
2021-07-01,"AC1163T",21,40
2021-07-01,"AC1201B",23,38
2021-07-01,"AC1202B",33,28
2021-07-01,"AC1203B",34,27
2021-07-01,"AC1204B",36,25
2021-07-01,"AC3104B",14,47
2021-07-01,"AC3105B",29,32
2021-07-01,"AC3106B",38,23
2021-07-01,"AC3107B",39,22
2021-07-01,"AC3191B",42,19
2021-07-01,"AC3192B",12,49
2021-07-01,"AC3193B",10,51
2021-07-01,"ACCS009",59,2
2021-07-01,"AR00067",43,18
2021-07-01,"AR00068",50,11
2021-07-01,"AR00069",51,10
2021-07-01,"ART0082",54,7
2021-07-01,"BOXDIG",52,9
2021-07-01,"BOXDT",37,24
2021-07-01,"BOXESN",58,3
2021-07-01,"BOXH",41,20
2021-07-01,"BOXHAR",47,14
2021-07-01,"BOXSER",46,15
2021-07-01,"BOXSIL",49,12
2021-07-01,"BOXV",15,46
2021-07-01,"BOXVIT",44,17
2021-07-01,"BOXVP",30,31
2021-07-01,"BT4001G",27,34
2021-07-01,"CA1147",25,36
2021-07-01,"CA1148V",9,52
2021-07-01,"CA1159A",2,59
2021-07-01,"CA1160A",6,55
2021-07-01,"CA1161V",16,45
2021-07-01,"CA1162V",19,42
2021-07-01,"CA1163B",22,39
2021-07-01,"CA1165A",7,54
2021-07-01,"CA1166V",17,44
2021-07-01,"CA1167V",13,48
2021-07-01,"CA1201A",8,53
2021-07-01,"CA1202A",4,57
2021-07-01,"CA1301A",5,56
2021-07-01,"CA1302A",1,60
2021-07-01,"CA1303A",3,58
2021-07-01,"CERCHOC",11,50
2021-07-01,"CERFRUI",18,43
2021-07-01,"CERNATU",20,41
2021-07-01,"FT5",56,5
2021-07-01,"GLPSO",53,8
2021-07-01,"GOBDIE",60,1
2021-07-01,"GOOM002",57,4
2021-07-01,"GOOM003",55,6
2021-07-01,"GOOM005",45,16
2021-07-01,"NEW1",48,13
2021-07-01,"PP2216",40,21
2021-07-01,"PP2217B",28,33
2021-07-01,"PP2218B",32,29
2021-07-01,"PP2224B",35,26
2021-07-01,"PP2272B",24,37
2021-08-01,"AC1160T",29,32
2021-08-01,"AC1161T",30,31
2021-08-01,"AC1163T",19,42
2021-08-01,"AC1201B",23,38
2021-08-01,"AC1202B",31,30
2021-08-01,"AC1203B",36,25
2021-08-01,"AC1204B",37,24
2021-08-01,"AC3104B",14,47
2021-08-01,"AC3105B",25,36
2021-08-01,"AC3106B",34,27
2021-08-01,"AC3107B",38,23
2021-08-01,"AC3191B",43,18
2021-08-01,"AC3192B",12,49
2021-08-01,"AC3193B",10,51
2021-08-01,"AR00067",41,20
2021-08-01,"AR00068",53,8
2021-08-01,"AR00069",51,10
2021-08-01,"ART0082",52,9
2021-08-01,"BOXDT",39,22
2021-08-01,"BOXESC",55,6
2021-08-01,"BOXFS",47,14
2021-08-01,"BOXH",42,19
2021-08-01,"BOXHAR",48,13
2021-08-01,"BOXSER",50,11
2021-08-01,"BOXSIL",44,17
2021-08-01,"BOXV",21,40
2021-08-01,"BOXVIT",46,15
2021-08-01,"BOXVP",33,28
2021-08-01,"BT4001G",26,35
2021-08-01,"CA1147",28,33
2021-08-01,"CA1148V",9,52
2021-08-01,"CA1159A",2,59
2021-08-01,"CA1160A",6,55
2021-08-01,"CA1161V",15,46
2021-08-01,"CA1162V",22,39
2021-08-01,"CA1163B",18,43
2021-08-01,"CA1165A",7,54
2021-08-01,"CA1166V",16,45
2021-08-01,"CA1167V",13,48
2021-08-01,"CA1201A",8,53
2021-08-01,"CA1202A",5,56
2021-08-01,"CA1301A",4,57
2021-08-01,"CA1302A",1,60
2021-08-01,"CA1303A",3,58
2021-08-01,"CERCHOC",11,50
2021-08-01,"CERFRUI",17,44
2021-08-01,"CERNATU",20,41
2021-08-01,"GLPSO",54,7
2021-08-01,"GOOM002",57,4
2021-08-01,"GOOM003",56,5
2021-08-01,"GOOM005",45,16
2021-08-01,"NEW1",49,12
2021-08-01,"PP2216",40,21
2021-08-01,"PP2217B",27,34
2021-08-01,"PP2218B",32,29
2021-08-01,"PP2224B",35,26
2021-08-01,"PP2272B",24,37
2021-09-01,"AC1160T",27,34
2021-09-01,"AC1161T",29,32
2021-09-01,"AC1163T",19,42
2021-09-01,"AC1201B",22,39
2021-09-01,"AC1202B",32,29
2021-09-01,"AC1203B",34,27
2021-09-01,"AC1204B",36,25
2021-09-01,"AC3104B",15,46
2021-09-01,"AC3105B",26,35
2021-09-01,"AC3106B",35,26
2021-09-01,"AC3107B",41,20
2021-09-01,"AC3191B",43,18
2021-09-01,"AC3192B",13,48
2021-09-01,"AC3193B",9,52
2021-09-01,"AR00067",42,19
2021-09-01,"AR00068",49,12
2021-09-01,"AR00069",50,11
2021-09-01,"ART0082",52,9
2021-09-01,"BOXDT",38,23
2021-09-01,"BOXESN",54,7
2021-09-01,"BOXESR",57,4
2021-09-01,"BOXH",40,21
2021-09-01,"BOXHAR",53,8
2021-09-01,"BOXSER",44,17
2021-09-01,"BOXSIL",45,16
2021-09-01,"BOXV",37,24
2021-09-01,"BOXVIT",46,15
2021-09-01,"BOXVP",31,30
2021-09-01,"BT4001G",33,28
2021-09-01,"CA1147",25,36
2021-09-01,"CA1148V",10,51
2021-09-01,"CA1159A",2,59
2021-09-01,"CA1160A",6,55
2021-09-01,"CA1161V",16,45
2021-09-01,"CA1162V",20,41
2021-09-01,"CA1163B",18,43
2021-09-01,"CA1165A",7,54
2021-09-01,"CA1166V",14,47
2021-09-01,"CA1167V",12,49
2021-09-01,"CA1201A",8,53
2021-09-01,"CA1202A",5,56
2021-09-01,"CA1301A",3,58
2021-09-01,"CA1302A",1,60
2021-09-01,"CA1303A",4,57
2021-09-01,"CERCHOC",11,50
2021-09-01,"CERFRUI",17,44
2021-09-01,"CERNATU",21,40
2021-09-01,"GLPSO",47,14
2021-09-01,"GOOM002",56,5
2021-09-01,"GOOM003",55,6
2021-09-01,"GOOM005",48,13
2021-09-01,"LIVREC",58,3
2021-09-01,"NEW1",51,10
2021-09-01,"PP2216",39,22
2021-09-01,"PP2217B",24,37
2021-09-01,"PP2218B",28,33
2021-09-01,"PP2224B",30,31
2021-09-01,"PP2272B",23,38
2021-10-01,"AC1160T",26,35
2021-10-01,"AC1161T",29,32
2021-10-01,"AC1163T",19,42
2021-10-01,"AC1201B",23,38
2021-10-01,"AC1202B",30,31
2021-10-01,"AC1203B",32,29
2021-10-01,"AC1204B",37,24
2021-10-01,"AC3104B",15,46
2021-10-01,"AC3105B",27,34
2021-10-01,"AC3106B",36,25
2021-10-01,"AC3107B",38,23
2021-10-01,"AC3191B",45,16
2021-10-01,"AC3192B",14,47
2021-10-01,"AC3193B",9,52
2021-10-01,"ACCS009",58,3
2021-10-01,"AR00067",42,19
2021-10-01,"AR00068",49,12
2021-10-01,"AR00069",51,10
2021-10-01,"ART0082",54,7
2021-10-01,"BOXDIG",47,14
2021-10-01,"BOXDT",35,26
2021-10-01,"BOXESN",50,11
2021-10-01,"BOXESR",52,9
2021-10-01,"BOXH",40,21
2021-10-01,"BOXHAR",53,8
2021-10-01,"BOXSER",41,20
2021-10-01,"BOXV",44,17
2021-10-01,"BOXVIT",43,18
2021-10-01,"BOXVP",34,27
2021-10-01,"BT4001G",33,28
2021-10-01,"CA1147",21,40
2021-10-01,"CA1148V",10,51
2021-10-01,"CA1159A",2,59
2021-10-01,"CA1160A",6,55
2021-10-01,"CA1161V",16,45
2021-10-01,"CA1162V",20,41
2021-10-01,"CA1163B",18,43
2021-10-01,"CA1165A",8,53
2021-10-01,"CA1166V",12,49
2021-10-01,"CA1167V",13,48
2021-10-01,"CA1201A",7,54
2021-10-01,"CA1202A",5,56
2021-10-01,"CA1301A",3,58
2021-10-01,"CA1302A",1,60
2021-10-01,"CA1303A",4,57
2021-10-01,"CERCHOC",11,50
2021-10-01,"CERFRUI",17,44
2021-10-01,"CERNATU",24,37
2021-10-01,"GLPSO",56,5
2021-10-01,"GOOM002",57,4
2021-10-01,"GOOM003",55,6
2021-10-01,"GOOM004",59,2
2021-10-01,"GOOM005",46,15
2021-10-01,"NEW1",48,13
2021-10-01,"PP2216",39,22
2021-10-01,"PP2217B",25,36
2021-10-01,"PP2218B",28,33
2021-10-01,"PP2224B",31,30
2021-10-01,"PP2272B",22,39
2021-11-01,"AC1160T",26,35
2021-11-01,"AC1161T",32,29
2021-11-01,"AC1163T",17,44
2021-11-01,"AC1201B",22,39
2021-11-01,"AC1202B",29,32
2021-11-01,"AC1203B",33,28
2021-11-01,"AC1204B",37,24
2021-11-01,"AC3104B",15,46
2021-11-01,"AC3105B",28,33
2021-11-01,"AC3106B",38,23
2021-11-01,"AC3107B",41,20
2021-11-01,"AC3191B",46,15
2021-11-01,"AC3192B",13,48
2021-11-01,"AC3193B",9,52
2021-11-01,"AR00067",43,18
2021-11-01,"AR00068",51,10
2021-11-01,"AR00069",52,9
2021-11-01,"ART0082",54,7
2021-11-01,"BOXDIG",50,11
2021-11-01,"BOXDT",36,25
2021-11-01,"BOXFP",34,27
2021-11-01,"BOXFS",42,19
2021-11-01,"BOXH",40,21
2021-11-01,"BOXHAR",48,13
