"code_product","year_month_full","amount"
"AC3193B",2017-11-01,305.13
"BT4001G",2017-11-01,21.24
"CA1148V",2017-11-01,115.14
"CA1159A",2017-11-01,1528.37
"CA1160A",2017-11-01,428.13
"CA1161V",2017-11-01,30.77
"CA1162V",2017-11-01,17.94
"CA1163B",2017-11-01,11.18
"CA1165A",2017-11-01,232.48
"CA1166V",2017-11-01,86.41
"CA1167V",2017-11-01,127.14
"CA1201A",2017-11-01,176.22
"CA1202A",2017-11-01,577.65
"CA1301A",2017-11-01,803.92
"CA1302A",2017-11-01,1549.89
"CA1303A",2017-11-01,1005.68
"GLPSO",2017-11-01,5.87
"GOOM002",2017-11-01,0
"LIVREC",2017-11-01,0
"PP2217B",2017-11-01,37.15
"PP2218B",2017-11-01,23.52
"PP2224B",2017-11-01,25.39
"PP2272B",2017-11-01,19.99
"AC1160T",2017-12-01,15.15
"AC1161T",2017-12-01,17.62
"AC1163T",2017-12-01,41.09
"AC1201B",2017-12-01,103.46
"AC1202B",2017-12-01,7.68
"AC1203B",2017-12-01,8.87
"AC1204B",2017-12-01,0
"AC3104B",2017-12-01,67.57
"AC3105B",2017-12-01,200.14
"AC3106B",2017-12-01,124.18
"AC3192B",2017-12-01,121.69
"AC3193B",2017-12-01,347.03
"ACCS009",2017-12-01,0
"ART0082",2017-12-01,2.08
"BT4001G",2017-12-01,21.25
"CA1148V",2017-12-01,155.94
"CA1159A",2017-12-01,2180.93
"CA1160A",2017-12-01,613.22
"CA1161V",2017-12-01,198.69
"CA1162V",2017-12-01,41.37
"CA1163B",2017-12-01,60.32
"CA1165A",2017-12-01,377.97
"CA1166V",2017-12-01,23.7
"CA1167V",2017-12-01,53.88
"CA1201A",2017-12-01,152.89
"CA1202A",2017-12-01,692.4
"CA1301A",2017-12-01,357.83
"CA1302A",2017-12-01,2194.43
"CA1303A",2017-12-01,2545.8
"PP2217B",2017-12-01,28.22
"PP2218B",2017-12-01,22.39
"PP2224B",2017-12-01,11.76
"PP2272B",2017-12-01,16.46
"AC1160T",2018-01-01,115.86
"AC1161T",2018-01-01,21.55
"AC1163T",2018-01-01,88.29
"AC1201B",2018-01-01,105.75
"AC1202B",2018-01-01,11.13
"AC1203B",2018-01-01,17.07
"AC1204B",2018-01-01,7.53
"AC3104B",2018-01-01,287.58
"AC3105B",2018-01-01,479.3
"AC3106B",2018-01-01,167.14
"AC3107B",2018-01-01,10.37
"AC3191B",2018-01-01,12.01
"AC3192B",2018-01-01,224.13
"AC3193B",2018-01-01,545.13
"ACCS009",2018-01-01,0
"ART0082",2018-01-01,1.81
"BT4001G",2018-01-01,64.63
"CA1148V",2018-01-01,204.57
"CA1159A",2018-01-01,2845.22
"CA1160A",2018-01-01,751.59
"CA1161V",2018-01-01,60.84
"CA1162V",2018-01-01,86.7
"CA1163B",2018-01-01,38.66
"CA1165A",2018-01-01,712.78
"CA1166V",2018-01-01,144.85
"CA1167V",2018-01-01,139.35
"CA1201A",2018-01-01,318.88
"CA1202A",2018-01-01,1643.73
"CA1301A",2018-01-01,1591.98
"CA1302A",2018-01-01,3401.34
"CA1303A",2018-01-01,1643.74
"GOOM002",2018-01-01,0
"GOOM003",2018-01-01,0
"LIVREC",2018-01-01,2.12
"PP2216",2018-01-01,12.06
"PP2217B",2018-01-01,51.35
"PP2218B",2018-01-01,35.46
"PP2224B",2018-01-01,56.29
"PP2272B",2018-01-01,41.58
"AC1160T",2018-02-01,66.53
"AC1161T",2018-02-01,26.06
"AC1163T",2018-02-01,71.88
"AC1201B",2018-02-01,125.75
"AC1202B",2018-02-01,8.95
"AC1203B",2018-02-01,7.05
"AC1204B",2018-02-01,8.52
"AC3104B",2018-02-01,107.2
"AC3105B",2018-02-01,449.55
"AC3106B",2018-02-01,150.65
"AC3107B",2018-02-01,52.17
"AC3192B",2018-02-01,216.32
"AC3193B",2018-02-01,493.09
"ART0082",2018-02-01,2.08
"CA1147",2018-02-01,19.15
"CA1148V",2018-02-01,471.7
"CA1159A",2018-02-01,3069.92
"CA1160A",2018-02-01,887.34
"CA1161V",2018-02-01,33.55
"CA1162V",2018-02-01,33.72
"CA1163B",2018-02-01,44.92
"CA1165A",2018-02-01,633.28
"CA1166V",2018-02-01,108.63
"CA1167V",2018-02-01,188.35
"CA1201A",2018-02-01,611.23
"CA1202A",2018-02-01,1517.55
"CA1301A",2018-02-01,1283.47
"CA1302A",2018-02-01,3918.35
"CA1303A",2018-02-01,2088.21
"GOOM002",2018-02-01,0
"LIVREC",2018-02-01,10.4
"PP2216",2018-02-01,7.22
"PP2217B",2018-02-01,45.53
"PP2218B",2018-02-01,50.11
"PP2224B",2018-02-01,49.56
"PP2272B",2018-02-01,60.56
"SACTIS",2018-02-01,0
"SPRAF",2018-02-01,19.15
"AC1160T",2018-03-01,17.53
"AC1161T",2018-03-01,17.96
"AC1163T",2018-03-01,107.56
"AC1201B",2018-03-01,73.45
"AC1202B",2018-03-01,37.14
"AC1203B",2018-03-01,18.02
"AC1204B",2018-03-01,13.51
"AC3104B",2018-03-01,163.63
"AC3105B",2018-03-01,627.15
"AC3106B",2018-03-01,194.54
"AC3107B",2018-03-01,74.38
"AC3192B",2018-03-01,223.61
"AC3193B",2018-03-01,473.22
"AR00067",2018-03-01,4.16
"AR00068",2018-03-01,4.16
"ART0082",2018-03-01,6.24
"BT4001G",2018-03-01,40.76
"CA1147",2018-03-01,76.71
"CA1148V",2018-03-01,503.2
"CA1159A",2018-03-01,3721.4
"CA1160A",2018-03-01,1320.42
"CA1161V",2018-03-01,33.55
"CA1162V",2018-03-01,77.06
"CA1163B",2018-03-01,140.56
"CA1165A",2018-03-01,949.27
"CA1166V",2018-03-01,95.72
"CA1167V",2018-03-01,157.03
"CA1201A",2018-03-01,499.17
"CA1202A",2018-03-01,2164.83
"CA1301A",2018-03-01,1736.05
"CA1302A",2018-03-01,4962.11
"CA1303A",2018-03-01,3130.55
"GLPSO",2018-03-01,5.99
"GOOM002",2018-03-01,0
"LIVREC",2018-03-01,2.12
"MUGDIE",2018-03-01,0
"PP2216",2018-03-01,3.61
"PP2217B",2018-03-01,75.62
"PP2218B",2018-03-01,18
"PP2224B",2018-03-01,74.46
"PP2272B",2018-03-01,75.1
"AC1160T",2018-04-01,34.9
"AC1161T",2018-04-01,35.06
"AC1163T",2018-04-01,78.35
"AC1201B",2018-04-01,55.49
"AC1202B",2018-04-01,16.32
"AC1204B",2018-04-01,15.01
"AC3104B",2018-04-01,107.74
"AC3105B",2018-04-01,659.14
"AC3106B",2018-04-01,164.18
"AC3107B",2018-04-01,130.52
"AC3192B",2018-04-01,183.45
"AC3193B",2018-04-01,478.86
"ACCS009",2018-04-01,0
"AR00067",2018-04-01,12.48
"AR00068",2018-04-01,0
"AR00069",2018-04-01,2.08
"ART0082",2018-04-01,1.88
